empresa;documento
0650 ÁPICE FREGUESIA RES CLUBE;14.452.433/0001-92
0652 CONDOMINIO WIDE GARDEN;14.886.384/0001-04
0851 COND. SPLENDOR VILA MASCOTE;10.893.653/0001-09
0893 EDIFICIO PLATEAU JARDINS;10.427.332/0001-00
0268 COND. EDIF. RIO NEGRO;53.833.109/0001-76
0677 COND. EDIF. DUPLEX HOME PINHEIROS;04.463.708/0001-30
1089 COND.EDIF. PIAZZA DI LUGANO;59.833.723/0001-14
0952 CONDOMINIO MAXHAUS CELO;19.163.917/0001-35
0467 COND. EDIF. MANSAO J. SAADE;55.401.285/0001-64
0899 COND. EDIF. PARC EVIAN;10.253.815/0001-36
0810 COND. EDIF. LORD NELSON;65.718.892/0001-06
1135 COND. EDIF. RIO TEJO;54.002.076/0001-85
SIDERQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S.A;73586976000161
WATERTEC INDUSTRIAL COMERCIAL LTDA;01081469000165
OPEN CONTROLS;27612193000198
IGAM4 CONSULTORIA CIENTIFICA E TECNOLOGICA LTDA - EPP;21852121000131
0282 COND. EDIF. TANNHAUSER HOUSE APARTMENTS;67.152.124/0001-63
CEAGESP - COMPANHIA DE ENTREPOSTOS E ARMAZENS GERAIS DE SAO PAULO;62463005000108
0956 EDIF. EXT CAMPO BELO;29.709.204/0001-88
Barbosa Di Berardo;27947929000189
capfsoft;92850408000170
0934 COND. EDIF. TROVI MOOCA;26.461.063/0001-39
R.A. DOS SANTOS GESTAO EMPRESARIAL;16700955000191
BANCO TRIANGULO S/A;17351180000159
RCA DISTRIBUIDORA SOCIEDADE LTDA;05846607000100
0646 COND. EDIF. RES. IDEALE MOOCA;12.984.106/0001-56
BANCO TRIANGULO S/A;17351180000159
Teste;83493095000150
RABBIT COMERCIO DE ROUPAS - ME;11248972000116
0739 COND. EDIF. OMEGA;52.518.693/0001-02
Worth a Million;63025530001267
CELSO GARCIA REFEICOES Teste Cotabox;06268869000106
BANCO DO BRASIL SA;00000000000191
COTABOX TECNOLOGIA E SOFTWARE LTDA - ME;24672820000198
0287 COND. EDIF. PORTLAND'S RESIDENCE;60.376.233/0001-15
RODRIGO SCOLA SODRE 00560282028;13573816000156
REVOLUTIO SISTEMAS DE TELEATENDIMENTO LTDA;00483756000139
0655 EDIFICIO CAMPO BELO GOLDEN TOWER;02.340.353/0001-66
BANCO DO BRASIL SA;00000000000191
COTABOX TECNOLOGIA E SOFTWARE LTDA - ME;24672820000198
SISTEMA ALFA UNIVERSITARIO LTDA - ALFAFadipa;04943416000102
ASSOCIAÇÃO PELA FAMÍLIA;61330817000970
VALEANT FARMACEUTICA DO BRASIL LTDA;61186136000122
Jair Eletrica LTDA;95359649000100
Kavalcante Group;26738749000124
Jair Eletrica;19983473000184
cotação de preço;65620437000173
EDITORA SANAR LTDA - ME;18990682000192
Teste Teste;43141019000160
Departamento SA;46463653000108
Lucas Nabeiro de Campos;29102137000139
0669 COND. EDIF. MY PLACE;15.675.369/0001-71
Armarinho Sao Jose;72220268000140
COMPANHIA MUNICIPAL DE TRANSITO E URBANIZACAO-CMTU-LD;86731320000137
MARIA DE FATIMA RODRIGUES DE ANDRADE TAMANINI;27850744000151
Nordeste clima engenharia;13151025000138
COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;00091652003013
RETALHAR COSTURANDO IDEIAS;21416009000158
WINKER;18924102000169
TINTAS MC LTDA;61149506004904
CONDOMINIO EDIFICIO FARIA LIMA FINANCIAL CENTER;05778098000126
Caião dos Incenso SA;79214292000115
BRAZIL MARKET IMPORTACAO EXPORTACAO E COMERCIO LTDA;01422810000107
LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;01438784003708
FUNDACAO DE APOIO A FACULDADE DE MEDICINA DE MARILIA;09161265000146
LIDERA CONSULTORIA;10665585000112
MAJ- MORENO;55172977000188
ALEMOLDE INDUSTRIA E COMERCIO DE EMBALAGENS DE MATERIAL PLASTICO LTDA;10344758000109
comunidade Evangélica de Nilópolis;02072261000142
CONDOMINIO VOG CANDEIAS RESIDENCE;10967260000194
A EXCLUSIVA MOVEIS E EQUIPAMENTOS PARA ESCRITORIO E GASTRONOMIA LTDA;07080597000170
A. A. DA SILVA - MIUDEZAS;09590207000138
TECHEM DO BRASIL SERVICOS DE MEDICAO DE AGUA LTDA.;07829545000154
MORUMBI BOBINAS E ETIQUETAS;02977086000132
Morada nova;67549043000100
teste;46776942000167
VANESSA DE LIMA CORTILE;11975667000126
PONTO 5;09590207000138
Oficina da Mesa - Cozinha Compartilhada e Empreendedora;17486157000171
ATEVALDO DOS SANTOS - BEL;09102212000154
SUPPLIER BOOK TECNOLOGIA LTDA;29738552000183
teste;68297425000148
HOSPITAL MUNICIPAL SANTANA DE CARANDAI;19558782000107
PWA INFORMÁTICA - ME;08583553000126
COOP. NOVA ALIANÇA;88612486000160
G&B - MATERIAIS PARA CONSTRUÇÃO ;20217106000159
D S COSME CONFECCAO;18787496000150
MUNICIPIO DE SANTO ANDRE;46522942000130
GIANNONE TRANSPORTES LTDA;08186591000145
Morisco Lingerie;01830530000391
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL;43586122002753
Gás tupo;44341493000107
PORTO TEC ASSISTENCIA TECNICA LTDA;13720716000105
QUALYNEI INFORMATICA S/C LTDA;03794861000187
NOVA MAXIMOS;12683888000193
teste;36164250000104
SHOPPING CENTER ''D'';00087900000118
BIANCULLI & COSTA PRODUCOES E COMERCIO DE ELETRONICOS LTDA;22953003000182
RAP BURGUER HAMBURGUERIA EIRELI;27286149000135
PAULO VALERIO PEDRO;05855483000120
 iOn Live / Sportion;13562187000169
SERVER QUIMICA;04900875000281
VICENZA PANIFICADORA E CONFEITARIA LTDA - ME;13246576000185
MUNDIAL ATACADISTA;01713958000354
MARCLEAN;24070544000198
IRMAOS BIRCHAL;08599266000104
Francisco;19620562000166
SEED;76416965000121
PREFEITURA MUNICIPAL ;13635008000176
SOLUFIRE SOLUCOES CONTRA INCENDIO;23149372000180
Pleno Fotografia ;19926271000109
PR SEC GABINETE DO SECRETARIO;76416965000121
Senac;03709814003618
TECMIX PERFORMANCE INDUSTRIAL ;28849930000133
FUNCEF;00436923000190
Mega 7 Soluções ;12591341000168
ETEC ITAQUERA;10754640000140
ETEC ITAQUERA II;62823257028534
PROJETA ENGENHARIA;12577657000103
capsoft;44578031000108
Casa de Repouso Mooca Bem Me Care;11983349000107
casdf;79114651000162
capsoft;59609667000139
CONDUZ TINTAS;06148424000184
Alfa Livraria e papelaria ;09643905000154
Conex;28560389000149
COMPESA;09769035000164
AMERICANA DESCARTAVEIS;05826245000196
RobsonRamosAbrao;15980718000169
Conpass;24844780000114
Low BBQ BAR;30400570000130
Plastok;08983806000159
Senai Pirituba;03774819000102
Ecotech;12125717000149
Metropole;51889608000150
GS SOUTO;04949655000161
T4 SOLUTIONS;96491128000174
HARMONIA TERCEIRIZACOES;14874144000181
Grupo Vida Natural Hortalicas;11677480000146
Editora Metha;47672399000110
foz;30259024000120
lubeck;12984082000135
Evool Tecnologia;24449177000138
AGROVEIGA - MATRIZ;56541287000111
Marinho Informatica;03032295000176
HARMONIA TERCEIRIZACOES;14874144000181
VEIGA EQUIPAMENTOS DE ORDENHA;21545957000193
Prefeitura de Poá;55021455000185
HARMONIA TERCEIRIZACOES;14874144000181
Sesc Protásio Alves ;03575238000214
EXPRESSO MIRASSOL;52438082000154
SET SISTEMAS E PRODUTOS TECNICOS LTDA;00185372000130
HARMONIA TERCEIRIZACOES;14874144000181
Tiquatirão Frutos do Mar;10858459000184
HARMONIA TERCEIRIZACOES;14874144000181
H8;26650191000120
GS SOUTO;04949655000161
Editora HTC;11803694000111
Impermix;75058149000120
TIQUATIRAO FRUTOS DO MAR;10858459000184
AGUSTINE.CO;31078209000100
Kimberlit;61167060000198
Wam;25309101000170
