empresa;documento;número de ordens
0899 COND. EDIF. PARC EVIAN;10.253.815/0001-36;0
Morada nova;67549043000100;0
A EXCLUSIVA MOVEIS E EQUIPAMENTOS PARA ESCRITORIO E GASTRONOMIA LTDA;07080597000170;0
teste;46776942000167;0
SUPPLIER BOOK TECNOLOGIA LTDA;29738552000183;0
ALEMOLDE INDUSTRIA E COMERCIO DE EMBALAGENS DE MATERIAL PLASTICO LTDA;10344758000109;0
LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;01438784003708;0
PORTO TEC ASSISTENCIA TECNICA LTDA;13720716000105;0
TECHEM DO BRASIL SERVICOS DE MEDICAO DE AGUA LTDA.;07829545000154;0
0467 COND. EDIF. MANSAO J. SAADE;55.401.285/0001-64;0
ATEVALDO DOS SANTOS - BEL;09102212000154;0
WATERTEC INDUSTRIAL COMERCIAL LTDA;01081469000165;0
COTABOX TECNOLOGIA E SOFTWARE LTDA - ME;24672820000198;0
0893 EDIFICIO PLATEAU JARDINS;10.427.332/0001-00;1
RAP BURGUER HAMBURGUERIA EIRELI;27286149000135;0
0287 COND. EDIF. PORTLAND'S RESIDENCE;60.376.233/0001-15;0
Morisco Lingerie;01830530000391;0
SISTEMA ALFA UNIVERSITARIO LTDA - ALFAFadipa;04943416000102;0
MORUMBI BOBINAS E ETIQUETAS;02977086000132;0
PWA INFORMÁTICA - ME;08583553000126;0
A. A. DA SILVA - MIUDEZAS;09590207000138;0
teste;68297425000148;0
PAULO VALERIO PEDRO;05855483000120;0
cotação de preço;65620437000173;0
IGAM4 CONSULTORIA CIENTIFICA E TECNOLOGICA LTDA - EPP;21852121000131;0
capfsoft;92850408000170;0
TINTAS MC LTDA;61149506004904;0
BANCO DO BRASIL SA;00000000000191;0
COOP. NOVA ALIANÇA;88612486000160;0
Jair Eletrica;19983473000184;0
comunidade Evangélica de Nilópolis;02072261000142;0
CELSO GARCIA REFEICOES Teste Cotabox;06268869000106;0
G&B - MATERIAIS PARA CONSTRUÇÃO ;20217106000159;0
CONDUZ TINTAS;06148424000184;0
PONTO 5;09590207000138;0
0652 CONDOMINIO WIDE GARDEN;14.886.384/0001-04;0
ASSOCIAÇÃO PELA FAMÍLIA;61330817000970;0
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL;43586122002753;0
RCA DISTRIBUIDORA SOCIEDADE LTDA;05846607000100;0
GS SOUTO;04949655000161;0
MAJ- MORENO;55172977000188;0
0956 EDIF. EXT CAMPO BELO;29.709.204/0001-88;0
Mega 7 Soluções ;12591341000168;0
Caião dos Incenso SA;79214292000115;0
 iOn Live / Sportion;13562187000169;0
WINKER;18924102000169;0
Armarinho Sao Jose;72220268000140;0
capsoft;59609667000139;0
Conpass;24844780000114;0
PREFEITURA MUNICIPAL ;13635008000176;0
BANCO DO BRASIL SA;00000000000191;0
HARMONIA TERCEIRIZACOES;14874144000181;0
REVOLUTIO SISTEMAS DE TELEATENDIMENTO LTDA;00483756000139;0
Oficina da Mesa - Cozinha Compartilhada e Empreendedora;17486157000171;0
VANESSA DE LIMA CORTILE;11975667000126;0
Kavalcante Group;26738749000124;0
Lucas Nabeiro de Campos;29102137000139;0
COMPANHIA MUNICIPAL DE TRANSITO E URBANIZACAO-CMTU-LD;86731320000137;0
FUNDACAO DE APOIO A FACULDADE DE MEDICINA DE MARILIA;09161265000146;0
HARMONIA TERCEIRIZACOES;14874144000181;0
BANCO TRIANGULO S/A;17351180000159;0
COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;00091652003013;0
ETEC ITAQUERA II;62823257028534;0
R.A. DOS SANTOS GESTAO EMPRESARIAL;16700955000191;0
ETEC ITAQUERA;10754640000140;0
Jair Eletrica LTDA;95359649000100;0
Tiquatirão Frutos do Mar;10858459000184;0
FUNCEF;00436923000190;0
RABBIT COMERCIO DE ROUPAS - ME;11248972000116;0
Departamento SA;46463653000108;0
teste;36164250000104;0
Worth a Million;63025530001267;0
IRMAOS BIRCHAL;08599266000104;0
QUALYNEI INFORMATICA S/C LTDA;03794861000187;0
NOVA MAXIMOS;12683888000193;0
BANCO TRIANGULO S/A;17351180000159;0
RODRIGO SCOLA SODRE 00560282028;13573816000156;0
1089 COND.EDIF. PIAZZA DI LUGANO;59.833.723/0001-14;0
VALEANT FARMACEUTICA DO BRASIL LTDA;61186136000122;0
0650 ÁPICE FREGUESIA RES CLUBE;14.452.433/0001-92;0
HOSPITAL MUNICIPAL SANTANA DE CARANDAI;19558782000107;0
COTABOX TECNOLOGIA E SOFTWARE LTDA - ME;24672820000198;0
VEIGA EQUIPAMENTOS DE ORDENHA;21545957000193;0
vestseller;07519426000103;0
foz;30259024000120;0
EXPRESSO MIRASSOL;52438082000154;0
Nordeste clima engenharia;13151025000138;0
CONDOMINIO VOG CANDEIAS RESIDENCE;10967260000194;0
lubeck;12984082000135;0
BRAZIL MARKET IMPORTACAO EXPORTACAO E COMERCIO LTDA;01422810000107;0
MUNICIPIO DE SANTO ANDRE;46522942000130;0
Teste Teste;43141019000160;0
LIDERA CONSULTORIA;10665585000112;0
